timestamp,open,high,low,close,volume,turnover
2025-04-02 21:00:00+00:00,85622.4,85698.4,85249.5,85278.7,613.816,52433721.988
2025-04-02 21:05:00+00:00,85278.7,85278.7,84649.6,84682.8,2867.092,243409514.6063
2025-04-02 21:10:00+00:00,84682.8,84750.0,84425.0,84493.1,1754.793,148379103.2794
2025-04-02 21:15:00+00:00,84493.1,84809.9,84168.0,84386.2,2073.124,175107786.2936
2025-04-02 21:20:00+00:00,84386.2,84882.3,84292.7,84665.0,936.929,79246797.6603
2025-04-02 21:25:00+00:00,84665.0,84719.3,84446.4,84572.2,545.869,46177648.0455
2025-04-02 21:30:00+00:00,84572.2,84645.1,84350.0,84440.0,357.25,30189060.1109
2025-04-02 21:35:00+00:00,84440.0,84600.0,84366.0,84599.9,378.468,31975608.0217
2025-04-02 21:40:00+00:00,84599.9,84627.8,84487.0,84580.0,246.35,20831553.6325
2025-04-02 21:45:00+00:00,84580.0,84580.0,84386.9,84447.1,205.528,17354739.1043
2025-04-02 21:50:00+00:00,84447.1,84683.0,84388.2,84682.8,341.284,28849007.7609
2025-04-02 21:55:00+00:00,84682.8,84847.4,84585.2,84808.1,781.195,66199254.1419
2025-04-02 22:00:00+00:00,84808.1,84808.1,84128.9,84332.0,1428.194,120626790.728
2025-04-02 22:05:00+00:00,84332.0,84332.0,83835.4,83889.9,1190.343,100055411.0738
2025-04-02 22:10:00+00:00,83889.9,83927.9,83508.6,83641.0,2106.624,176310602.69
2025-04-02 22:15:00+00:00,83641.0,83641.0,83257.7,83489.0,1271.64,106088555.967
2025-04-02 22:20:00+00:00,83489.0,83548.2,83237.2,83548.2,1004.54,83792187.0609
2025-04-02 22:25:00+00:00,83548.2,83589.6,83373.2,83429.7,385.891,32214378.2428
2025-04-02 22:30:00+00:00,83429.7,83429.8,83056.1,83082.7,1330.437,110687657.5367
2025-04-02 22:35:00+00:00,83082.7,83192.8,82871.5,82950.0,1245.714,103432276.5598
2025-04-02 22:40:00+00:00,82950.0,83137.0,82667.3,82682.7,1375.273,113981224.4977
2025-04-02 22:45:00+00:00,82682.7,82988.0,82625.0,82987.9,1078.949,89342867.5056
2025-04-02 22:50:00+00:00,82987.9,83080.0,82820.9,82882.5,632.924,52508332.0597
2025-04-02 22:55:00+00:00,82882.5,82889.0,82703.7,82777.1,873.664,72319674.9435
2025-04-02 23:00:00+00:00,82777.1,82777.1,82281.9,82472.5,2039.309,168154953.2376
2025-04-02 23:05:00+00:00,82472.5,82600.0,82343.0,82482.1,679.697,56071612.1966
2025-04-02 23:10:00+00:00,82482.1,82679.5,82371.2,82659.1,776.929,64128022.8193
2025-04-02 23:15:00+00:00,82659.1,82672.2,82409.4,82515.2,388.872,32089097.1841
2025-04-02 23:20:00+00:00,82515.2,82641.0,82434.9,82611.8,341.626,28192626.5901
2025-04-02 23:25:00+00:00,82611.8,82813.0,82512.2,82800.6,896.748,74142694.6594
2025-04-02 23:30:00+00:00,82800.6,82804.5,82586.2,82750.8,507.626,41972647.3515
2025-04-02 23:35:00+00:00,82750.8,82750.8,82474.9,82673.1,356.101,29403798.1883
2025-04-02 23:40:00+00:00,82673.1,82673.1,82500.0,82620.9,330.583,27307126.9819
2025-04-02 23:45:00+00:00,82620.9,82620.9,82464.0,82513.2,424.276,35011943.1633
2025-04-02 23:50:00+00:00,82513.2,82546.8,82438.4,82499.9,437.041,36053426.8636
2025-04-02 23:55:00+00:00,82499.9,82599.0,82430.0,82468.1,270.868,22346910.1234
